ภาค,จังหวัด,ประชากรรวม (Total Population),ประชากรชาย (Male population),ประชากรหญิง (Female population),อัตราส่วนเพศ (Sex ratio),ความหนาแน่นต่อ ตร.กม. (Density per sq.km.),Region,Province
ภาคใต้,นครศรีธรรมราช,1540953,760886,780067,97.5,155,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,482121,239441,242680,98.7,102.4,Southern Region,Krabi
ภาคใต้,พังงา,267057,133379,133678,99.8,64,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,423599,199500,224099,89,780.1,Southern Region,Phuket
ภาคใต้,สุราษฏร์ธานี,1075788,528358,547430,96.5,83.4,Southern Region,Surat Thani
ภาคใต้,ระนอง,193371,97359,96012,101.4,58.6,Southern Region,Ranong
ภาคใต้,ชุมพร,508857,250921,257936,97.3,84.7,Southern Region,Chumphon
ภาคใต้,สงขลา,1431959,696601,735358,94.7,193.7,Southern Region,Songkhla
ภาคใต้,สตูล,325470,162039,163431,99.1,131.3,Southern Region,Satun
ภาคใต้,ตรัง,637017,311212,325805,95.5,129.5,Southern Region,Trang
ภาคใต้,พัทลุง,520598,253232,267366,94.7,152,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,737077,364396,372681,97.8,379.9,Southern Region,Pattani
ภาคใต้,ยะลา,549946,273248,276698,98.8,121.6,Southern Region,Yala
ภาคใต้,นราธิวาส,819162,405170,413992,97.9,183,Southern Region,Narathiwat
